what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184879375
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184880449
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184880549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184890537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184892554
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184897217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184907119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184909532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184916176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184922686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184926803
